candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-56C8A1EB,GPT-5.4,openai,One-shot,CuAAC,0.951389,0.9375,0.043368,0.958333,0,0,openai,repeat_03,275875392,7bc4684b252ebb7ed036da1c76f1aab9f1563dbb0757206baefea5eb5af60fa0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/openai_one_shot/repeat_03
N2-DE57F440,GPT-5.4,openai,FlowPilot,CuAAC,0.805556,0.854167,0.222764,0.927083,1,2,openai,repeat_01,758266547,2a9551d27787ece28e355137057b8fc371321876aad232637d138d3ffa01f4ae,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/openai_flowpilot/repeat_01
N2-F56C1786,GPT-5.4,openai,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.958333,0,0,openai,repeat_02,337409860,f3cf92f142a506f84a3dbb02f039028ce08c5ca8fe41b2092a5aa24ff147f003,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/openai_flowpilot/repeat_02
N2-A8923ABE,GPT-5.4,openai,FlowPilot,CuAAC,0.854167,0.916667,0.185171,0.958333,1,2,openai,repeat_03,364285867,d0c3fef5747308712413f92dacbc1df5abfcbb36a6d32bb9d4eed0ac6786522d,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/openai_flowpilot/repeat_03
N2-91B57A73,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,0.958333,0.979167,0.05512,0.947917,0,0,claude,repeat_01,854856652,f3bbae01293c1dee353e326d9a63ba27d437f2b2052b557286312e2ff31c3472,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/claude_one_shot/repeat_01
N2-08E9094C,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,0.909722,0.9375,0.106908,0.895833,0,0,claude,repeat_02,1841975352,e63839aaa2f4270321d5d3cfa9f956647240d369959795e4e69fc58524542242,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/claude_one_shot/repeat_02
N2-88250C75,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,0.9375,0.958333,0.075115,0.927083,0,0,claude,repeat_03,1013852775,b2d0f59f4b28ebe02e0f9c72b6da9c9180661d2f9b009e5adc358589c589f985,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/claude_one_shot/repeat_03
N2-9141CE83,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.958333,0,0,claude,repeat_01,250051332,8da20ad30f77861cd5f05c37e784cf237f9cbc818f5fe5708fb405faa8065c0e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/claude_flowpilot/repeat_01
N2-B2E7E0D0,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.958333,0,0,claude,repeat_02,1154981824,ef0a11c4e78bc2db9c8bf245defe66ef6f3c7975df8bdb793a998404a89d84c0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/claude_flowpilot/repeat_02
N2-3DF31914,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,0.958333,0.958333,0.041667,0.958333,0,0,claude,repeat_03,2064772401,3e368fb202a1e439a63570af35d5aa9719be5becc33863c808e921a84e17ddc7,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/claude_flowpilot/repeat_03
